Japenese Together,Japanese,Ja to En
揉み消 3,揉み消 ,Cover up
px 3,px ,px
針山 3,針山 ,needle mountain
スクロール 3,スクロール ,Scroll
ゆか 3,ゆか ,Floor
journalist 3,journalist ,Journalist
ポエム 3,ポエム ,Poem
噛み締め 3,噛み締め ,Clenching
bridge 3,bridge ,Bridge
かわれ 3,かわれ ,Change
ラウダー 3,ラウダー ,Louder
athjahakar 3,athjahakar ,athjahakar
ウォルフガング 3,ウォルフガング ,Wolfgang
ほっつき歩 3,ほっつき歩 ,Wandering
ディリオン 3,ディリオン ,Dillion
どこい 3,どこい ,Where?
マクレガー 3,マクレガー ,McGregor
ﾜｺﾞﾝ 3,ﾜｺﾞﾝ ,Wagon
van 3,van ,van
伊豆 3,伊豆 ,Izu
品目 3,品目 ,Item
喰らわ 3,喰らわ ,Eat it
タラコ 3,タラコ ,Cod roe
大和 3,大和 ,Yamato
南岸 3,南岸 ,south coast
sail 3,sail ,sail
base 3,base ,Base
ﾃﾝﾍﾟﾙﾎｰﾌ 3,ﾃﾝﾍﾟﾙﾎｰﾌ ,Tempelhof
睦子 3,睦子 ,Mutsuko
デリカシー 3,デリカシー ,Delicacy
農道 3,農道 ,Farm road
絞りこ 3,絞りこ ,Squeezing
完ぺきよ 3,完ぺきよ ,Perfect
wouldn 3,wouldn ,wouldn
カリッ 3,カリッ ,Crisp
一旗揚げ 3,一旗揚げ ,Making a name for yourself
あぶり 3,あぶり ,Grilling
エクスナー 3,エクスナー ,Exner
足踏み 3,足踏み ,Footsteps
侮れ 3,侮れ ,Underestimation
きん 3,きん ,gold 
ヤキモキ 3,ヤキモキ ,Worrying
乗り入れ 3,乗り入れ ,Access
sector 3,sector ,sector
ラグレタ 3,ラグレタ ,Lagreta
soldiers 3,soldiers ,soldiers
インマルサット 3,インマルサット ,Inmarsat
見降ろ 3,見降ろ ,Look down
焼成 3,焼成 ,Firing
track 3,track ,track
援用 3,援用 ,Reference
踏み入 3,踏み入 ,Stepping in
おめ 3,おめ ,Ome
けちら 3,けちら ,Stingy
辛酸 3,辛酸 ,Spicy acidity
driver 3,driver ,Driver
schmidt 3,schmidt ,Schmidt
遣え 3,遣え ,Send
パブスト 3,パブスト ,Pabst
オデヲン座 3,オデヲン座 ,Odeon Theatre
あちゃー 3,あちゃー ,Ouch.
クルーへ 3,クルーへ ,"To the crew,"
ペンチン 3,ペンチン ,Penchin
サイクリング 3,サイクリング ,Cycling
見入 3,見入 ,Miiri
オスニング 3,オスニング ,Osning
証跡 3,証跡 ,Evidence
プリシラ 3,プリシラ ,Priscilla
投げ縄 3,投げ縄 ,Lasso
丢 3,丢 ,丢
コリント 3,コリント ,Corinth
バートランド 3,バートランド ,Bertrand
くらべ 3,くらべ ,Compare
サリーン 3,サリーン ,Saleen
囲い込 3,囲い込 ,Enclosure
激烈 3,激烈 ,Fierce
オリヴェット 3,オリヴェット ,Olivette
トリナ 3,トリナ ,Trina
ひとごと 3,ひとごと ,Other people's business
くっくっくっ 3,くっくっくっ ,Heh heh heh
シェラ 3,シェラ ,Sierra
ごはんだ 3,ごはんだ ,It's dinner
全舰 3,全舰 ,whole ship
ガバ 3,ガバ ,Gaba
shu 3,shu ,shu
モルダー 3,モルダー ,Mulder
モンタージュ 3,モンタージュ ,Montage
医術 3,医術 ,Medicine
恥ずかしめ 3,恥ずかしめ ,Embarrassed
まざまざ 3,まざまざ ,Various
オパール 3,オパール ,Opal
仲人 3,仲人 ,Matchmaker
強張 3,強張 ,Tension
連日 3,連日 ,Every day
ウソツキ 3,ウソツキ ,Liar
みえみえ 3,みえみえ ,It's obvious
分かち 3,分かち ,Share
ギャレッティ 3,ギャレッティ ,Galletti
ふうむ 3,ふうむ ,Hmm.
フューエル 3,フューエル ,Fuel
豚飼い 3,豚飼い ,Pig farmer
美談 3,美談 ,Inspiring story
大叔母 3,大叔母 ,great aunt
共に 3,共に ,Together
フラム 3,フラム ,Fulham
サルデーニャ 3,サルデーニャ ,Sardinia
ボブル 3,ボブル ,Bobble
パトロクロス 3,パトロクロス ,Patroclus
冬休み 3,冬休み ,Winter Break
舰长 3,舰长 ,length of the ship
ホーッ 3,ホーッ ,Hooray!
詰めだ 3,詰めだ ,Checkmated
ｍｉ 3,ｍｉ ,mi
卍 3,卍 ,Swastika
かたど 3,かたど ,Shape
喜悦 3,喜悦 ,joy
識者 3,識者 ,Expert
具有 3,具有 ,Existence
ボウコウ 3,ボウコウ ,Boukou
立ち尽く 3,立ち尽く ,Standing still
ケータ 3,ケータ ,Keita
とりつけ 3,とりつけ ,Installation
axe 3,axe ,axe
也许 3,也许 ,Also available
ウイークス 3,ウイークス ,Weeks
佐倉 3,佐倉 ,Sakura
揉み消し 3,揉み消し ,Cover up
控えろ 3,控えろ ,Hold on
touched 3,touched ,touched
書きとめ 3,書きとめ ,Note
ァー 3,ァー ,Ah
vitalum 3,vitalum ,Vitalum
vitalis 3,vitalis ,vitalis
高石 3,高石 ,Takaishi
せりふ 3,せりふ ,Dialogue
アルカルド 3,アルカルド ,Alcalde
和食 3,和食 ,Japanese food 
コントローラ 3,コントローラ ,controller 
ザウエル 3,ザウエル ,Sauer
カチャ 3,カチャ ,Katya
クリクリ 3,クリクリ ,Crisp
スパナ 3,スパナ ,Spanner
三方 3,三方 ,Three sides
就给 3,就给 ,Start of employment
放心 3,放心 ,absentmindedness
ムーチャ 3,ムーチャ ,Mucha
weird 3,weird ,weird
ザルコビッチ 3,ザルコビッチ ,Zarkovich
光沢 3,光沢 ,Gloss
たたき出 3,たたき出 ,Knockout
かたず 3,かたず ,Shape
すりかわ 3,すりかわ ,Surikawa
かこつけ 3,かこつけ ,Taking an excuse
乳母車 3,乳母車 ,Baby carriage
チヤホヤ 3,チヤホヤ ,Pampered
ペシャンコ 3,ペシャンコ ,Flat
モンタル 3,モンタル ,Montal
切り崩 3,切り崩 ,Cutting
カタブツ 3,カタブツ ,Rigid
ティーチ 3,ティーチ ,Teach
給湯 3,給湯 ,Hot water supply
悦 3,悦 ,Ecstasy
thrill 3,thrill ,Thrill
ミレラ 3,ミレラ ,Mirella
ひっ 3,ひっ ,Hi
クァート 3,クァート ,Quart
わかり合 3,わかり合 ,Understanding
citizens 3,citizens ,citizens
生め 3,生め ,Raw
poured 3,poured ,poured
辛気 3,辛気 ,Hardship
薬殺 3,薬殺 ,Lethal injection
つけ回 3,つけ回 ,Follow
ジョアナ 3,ジョアナ ,Joanna
scoundrel 3,scoundrel ,scoundrel
バイオレンス 3,バイオレンス ,Violence
ヒズダーゾロラク 3,ヒズダーゾロラク ,Hizda Zoroak
土葬 3,土葬 ,Burial
マンダラ 3,マンダラ ,Mandala
ネファリオ 3,ネファリオ ,Nefario
ベレゴ 3,ベレゴ ,Berego
孵卵 3,孵卵 ,Incubation
エスピリトサント 3,エスピリトサント ,Espirito Santo
水鳥 3,水鳥 ,waterfowl
水責め 3,水責め ,Waterboarding
捜し物 3,捜し物 ,Search
標 3,標 ,mark
エンカンタ 3,エンカンタ ,Encanta
入閣 3,入閣 ,Joined the Cabinet
ラワルピンディ 3,ラワルピンディ ,Rawalpindi
秀月 3,秀月 ,Hidetsuki
クロザ 3,クロザ ,Croza
不得 3,不得 ,Unprofitable
思い込ま 3,思い込ま ,Assumed
利便 3,利便 ,Convenience
yahoo 3,yahoo ,yahoo
ディアーレ 3,ディアーレ ,Diare
速れ 3,速れ ,Hurry!
呪法 3,呪法 ,Spell
脱獄囚 3,脱獄囚 ,Escaped prisoner
マスターベーション 3,マスターベーション ,Masturbation
天外 3,天外 ,Tengai
クローナ 3,クローナ ,Krona
ロアルド 3,ロアルド ,Roald
ミアラ 3,ミアラ ,Miara
aol 3,aol ,aol
足元気 3,足元気 ,Leg health
レーリン 3,レーリン ,Lerin
キルケリー 3,キルケリー ,Kilkelly
星型 3,星型 ,star shape
エキゾチカ 3,エキゾチカ ,Exotica
調律 3,調律 ,Tuning
極致 3,極致 ,Extreme
バパ 3,バパ ,Bapa
アゲーラ 3,アゲーラ ,Agera
身の毛 3,身の毛 ,Horrifying
ひきこもり 3,ひきこもり ,Hikikomori
チリン 3,チリン ,Clink
ハーゲンソン 3,ハーゲンソン ,Haagenson
イチロー 3,イチロー ,Ichiro
量話 3,量話 ,Quantity
本署 3,本署 ,Headquarters
エイム 3,エイム ,Aim
付録 3,付録 ,Appendix
サヴィン 3,サヴィン ,Savin
火消し 3,火消し ,Firefighter
オエ 3,オエ ,Oye
ニーダ 3,ニーダ ,Needa
血生 3,血生 ,blood and blood
左急 3,左急 ,Left hurry
ムム 3,ムム ,Hmm.
落盤 3,落盤 ,rockfall
beach 3,beach ,beach
ナデュラ 3,ナデュラ ,Nadura
イァ 3,イァ ,Yeah
キャミソール 3,キャミソール ,Camisole
parliament 3,parliament ,Parliament
sumatra 3,sumatra ,sumatra
ハッティー 3,ハッティー ,Hattie
ことぁ 3,ことぁ ,Kotoa
ブランビラ 3,ブランビラ ,Brambilla
体位 3,体位 ,Body position
キャンポス 3,キャンポス ,Campos
さわり 3,さわり ,Touch
リジェ 3,リジェ ,Ligier
軍旗 3,軍旗 ,military flag
ほんもの 3,ほんもの ,Real thing
言い切 3,言い切 ,definitive
ball 3,ball ,ball
ぜーんぜん 3,ぜーんぜん ,Not at all
むらく 3,むらく ,Muraku
ほほ 3,ほほ ,Cheek
転ば 3,転ば ,Fall
キックオフ 3,キックオフ ,kick off 
アミ 3,アミ ,Ami
イァだ 3,イァだ ,Yeah
ミグ 3,ミグ ,MiG
まん前 3,まん前 ,Right in front
ソワソワ 3,ソワソワ ,Excited
げんまん 3,げんまん ,Genman
くせー 3,くせー ,Stinks
実母 3,実母 ,Biological mother
キュッ 3,キュッ ,Squeak
我看 3,我看 ,I look after myself
funding 3,funding ,funding
トムスン 3,トムスン ,Thompson
ニンフ 3,ニンフ ,Nymph
おぁ 3,おぁ ,Oh
即日 3,即日 ,Same day
一条 3,一条 ,Ichijo
しかもら 3,しかもら ,"Moreover,"
すし 3,すし ,Sushi
パネム 3,パネム ,Panem
紫だ 3,紫だ ,Purple
そごく 3,そごく ,Sogoku
フィアデルフィア 3,フィアデルフィア ,Philadelphia
ヘブンズビー 3,ヘブンズビー ,Heavensbee
アポカリプス 3,アポカリプス ,Apocalypse
重刑 3,重刑 ,heavy punishment
ホウキ 3,ホウキ ,Broom
ナチめ 3,ナチめ ,Nazi
chemins 3,chemins ,Chemins
lieux 3,lieux ,Lieux
デラヘイ 3,デラヘイ ,Delahaye
ティク 3,ティク ,Tic
someday 3,someday ,someday
アナポリス 3,アナポリス ,Annapolis
引き篭も 3,引き篭も ,Recluse
表意 3,表意 ,denotation
打ち捨て 3,打ち捨て ,Abandon
huac 3,huac ,huac
クラスタ 3,クラスタ ,Cluster
ゾエ 3,ゾエ ,Zoe
ダンプティ 3,ダンプティ ,Dumpty
activities 3,activities ,activities
スティックス 3,スティックス ,Sticks
私め 3,私め ,I
溶鉱 3,溶鉱 ,Smelting
組み上げ 3,組み上げ ,Assembly
dering 3,dering ,Dering
ワグー 3,ワグー ,Wagu
地政 3,地政 ,geopolitics
プロビンス 3,プロビンス ,Province
February 3,February ,February
焼き上が 3,焼き上が ,Once cooked
ビジネスライク 3,ビジネスライク ,Businesslike
人死 3,人死 ,Death
スレッシュ 3,スレッシュ ,Thresh
かさば 3,かさば ,Bulk
縮尺 3,縮尺 ,Scale
kisses 3,kisses ,kisses
ヌエボラレド 3,ヌエボラレド ,Nuevo Laredo
めんどり 3,めんどり ,Chicken
年貢 3,年貢 ,Tax
カタルシス 3,カタルシス ,Catharsis
ガセ 3,ガセ ,False
漂流物 3,漂流物 ,flotsam
吸いと 3,吸いと ,Suck it
大火 3,大火 ,Conflagration
パーシ 3,パーシ ,Parsi
ちゃぁ 3,ちゃぁ ,Chaa
ヘルクレス 3,ヘルクレス ,Hercules
あじ 3,あじ ,Horse mackerel
sha 3,sha ,sha
マンディー 3,マンディー ,Mandy
スナッフル 3,スナッフル ,Snaffle
島中 3,島中 ,All over the island
ゆくゆく 3,ゆくゆく ,Eventually
マグニチュード 3,マグニチュード ,Magnitude
开始 3,开始 ,beginning
comfort 3,comfort ,Comfort
起死 3,起死 ,rising and dying
嵐雲 3,嵐雲 ,storm clouds
殴りあ 3,殴りあ ,Beat it up
コーリング 3,コーリング ,Calling
バーフ 3,バーフ ,Barf
子飼い 3,子飼い ,Pet
戯曲 3,戯曲 ,Play
ロリストン 3,ロリストン ,Loriston
積み出 3,積み出 ,Shipment
ワイレス 3,ワイレス ,Wireless
染料 3,染料 ,dye
銃砲 3,銃砲 ,Guns
肉塊 3,肉塊 ,meat loaf
ヤカン 3,ヤカン ,Kettle
タルタロス 3,タルタロス ,Tartarus
氷漬け 3,氷漬け ,Ice
うとう 3,うとう ,Dozing off
ドッズ 3,ドッズ ,Dodds
建立 3,建立 ,erected
ネリ 3,ネリ ,Neri
コマ切れ 3,コマ切れ ,Frame cut
大目玉 3,大目玉 ,Main attraction
リーゼンハイム 3,リーゼンハイム ,Riesenheim
テイヴィス 3,テイヴィス ,Tavis
試食品 3,試食品 ,sample food
ウエイト 3,ウエイト ,Weight
炎天 3,炎天 ,hot sun
君が 3,君が ,You
ケット 3,ケット ,Ket
水門 3,水門 ,water gate
ガズデン 3,ガズデン ,Gadsden
ハープシコード 3,ハープシコード ,Harpsichord
クリアクター 3,クリアクター ,Clearctor
scientific 3,scientific ,scientific
ゴーディ 3,ゴーディ ,Gordy
種まき 3,種まき ,Sowing
可是 3,可是 ,Possible
フレスコ 3,フレスコ ,Fresco
ナマス 3,ナマス ,Namaste
睡 3,睡 ,sleep
盛りつけ 3,盛りつけ ,Presentation
噂好き 3,噂好き ,Rumor-loving
やっとこさ 3,やっとこさ ,Finally
強権 3,強権 ,Powerful
きゅうり 3,きゅうり ,Cucumber
函 3,函 ,box
片っぽ 3,片っぽ ,One side
跳弾 3,跳弾 ,Ricochet
mems 3,mems ,mems
留任 3,留任 ,Remaining in office
それが 3,それが ,That
座興 3,座興 ,Zakyo
連休 3,連休 ,Long weekend
学界 3,学界 ,academia
パッツィ 3,パッツィ ,Patsy
実存 3,実存 ,Existence
ヤツら 3,ヤツら ,Those guys
夜学 3,夜学 ,night school
デラックス 3,デラックス ,Deluxe
えへへ 3,えへへ ,Ehehe
シャワルマ 3,シャワルマ ,Shawarma
キーター 3,キーター ,Keytar
スターター 3,スターター ,Starter
舎弟 3,舎弟 ,younger brother
我真 3,我真 ,Gama
ぶち上げ 3,ぶち上げ ,Push up
パター 3,パター ,Putter
いてけぼり 3,いてけぼり ,Painful
バッカー 3,バッカー ,Backers
katy 3,katy ,katy
ワイマン 3,ワイマン ,Wyman
nea 3,nea ,nea
休診 3,休診 ,Closed
那颗 3,那颗 ,A long time
州間 3,州間 ,Interstate
れんが 3,れんが ,Brick
仕込め 3,仕込め ,Preparation
サトナム 3,サトナム ,Satnam
はき 3,はき ,Wear
craquelure 3,craquelure ,Craquelure
とばし 3,とばし ,Skip
昆布 3,昆布 ,Kelp
見所 3,見所 ,Points of Interest
ギレルモ 3,ギレルモ ,Guillermo
バッキャロー 3,バッキャロー ,Bacchalo
chantant 3,chantant ,chantant
サンダルウッド 3,サンダルウッド ,Sandalwood
酔い潰れ 3,酔い潰れ ,Drunk
ぬら 3,ぬら ,Wet
愛娘 3,愛娘 ,Daughter
デスフル 3,デスフル ,Deathful
左耳 3,左耳 ,Left ear
たまご 3,たまご ,Egg
責め苦 3,責め苦 ,Torment
むれ 3,むれ ,Stuffy
ティディ 3,ティディ ,Teddy
divorce 3,divorce ,Divorce
人心 3,人心 ,human heart
うずたか 3,うずたか ,Whirlwind
カザフスタン 3,カザフスタン ,Kazakhstan
デフ 3,デフ ,Diff
薬理 3,薬理 ,Pharmacology
策定 3,策定 ,Formulation
バークシャー 3,バークシャー ,Berkshire
やりお 3,やりお ,Do it
ネズミめ 3,ネズミめ ,You rat
pauvre 3,pauvre ,pauvre
トビリシ 3,トビリシ ,Tbilisi
sc 3,sc ,sc
右耳 3,右耳 ,right ear
寝て 3,寝て ,Sleep
厄災 3,厄災 ,Disaster
氷水 3,氷水 ,Ice water
フリーウエイ 3,フリーウエイ ,Freeway
ドミニオン 3,ドミニオン ,Dominion
テトラサイクリン 3,テトラサイクリン ,Tetracycline
代筆 3,代筆 ,ghostwriting
メドベージェフ 3,メドベージェフ ,Medvedev
ガンツ 3,ガンツ ,Gantz
カンパ 3,カンパ ,Donation
熱気球 3,熱気球 ,Hot Air Balloon
有事 3,有事 ,emergency
クローザー 3,クローザー ,Closer
wd 3,wd ,wd
勢ぞろい 3,勢ぞろい ,Full lineup
ピカルド 3,ピカルド ,Picardo
ウルシ 3,ウルシ ,Sumac
マーラー 3,マーラー ,Mahler
いそがし 3,いそがし ,Busy
温柔 3,温柔 ,Warm and soft
ミニスカート 3,ミニスカート ,mini skirt 
routier 3,routier ,Routier
大波 3,大波 ,Big Wave
当園 3,当園 ,Our school
多彡 3,多彡 ,Many
ハイライト 3,ハイライト ,Highlights
ダウニー 3,ダウニー ,Downey
サイバラン 3,サイバラン ,Cyberlan
湃 3,湃 ,Nana
ジブリ 3,ジブリ ,Ghibli
艳 3,艳 ,Boat
徳間 3,徳間 ,Tokuma
澎 3,澎 ,Peng
子午 3,子午 ,meridian
メガクエイク 3,メガクエイク ,Megaquake
滑り出 3,滑り出 ,Slip out
メーキャップ 3,メーキャップ ,Makeup
chaos 3,chaos ,Chaos
明るめ 3,明るめ ,Light
漬か 3,漬か ,Pickled
そばかす 3,そばかす ,Freckles
择 3,择 ,cabin
通じ合え 3,通じ合え ,Communicate
免停 3,免停 ,Suspension
妖 3,妖 ,ghost
ダレノ 3,ダレノ ,Dareno
鸟 3,鸟 ,bird
傷つけれ 3,傷つけれ ,Hurt me
ハウジング 3,ハウジング ,Housing
トロピカル 3,トロピカル ,Tropical
アシタハ 3,アシタハ ,Ashitaha
lite 3,lite ,lite
日待 3,日待 ,Himachi
白刃 3,白刃 ,white blade
ヤナギ 3,ヤナギ ,Willow
めくれ 3,めくれ ,Turn over
oda 3,oda ,Oda
剧 3,剧 ,a play
desert 3,desert ,desert
ボロネーゼ 3,ボロネーゼ ,Bolognese
劳 3,劳 ,劳
スコセッシ 3,スコセッシ ,Scorsese
備え付け 3,備え付け ,Equipment
nu 3,nu ,n
敢行 3,敢行 ,Daring
仰角 3,仰角 ,elevation angle
ビヨンド 3,ビヨンド ,Beyond
chicken 3,chicken ,chicken
明星 3,明星 ,Myojo
ケプラー 3,ケプラー ,Kepler
カミングス 3,カミングス ,Cummings
フットヒル 3,フットヒル ,Foothill
にてえ 3,にてえ ,Nitee
いもの 3,いもの ,Potato
hers 3,hers ,hers
ベネディクト 3,ベネディクト ,Benedict
ディゾルブ 3,ディゾルブ ,Dissolve
終章 3,終章 ,Final Chapter
奇迹 3,奇迹 ,miracle
蟹漁師 3,蟹漁師 ,crab fisherman
壮介 3,壮介 ,Sousuke
ロッキード 3,ロッキード ,Lockheed
振りかけ 3,振りかけ ,Sprinkles
殺しか 3,殺しか ,Kill?
演者 3,演者 ,Performer
はんた 3,はんた ,Hanta
シンドローム 3,シンドローム ,Syndrome
天ぷら 3,天ぷら ,Tempura 
けちんぼ 3,けちんぼ ,Stingy
spit 3,spit ,spit
shouting 3,shouting ,shouting
初犯 3,初犯 ,first offense
岡辺 3,岡辺 ,Okabe
煌 3,煌 ,Sparkle
itunes 3,itunes ,iTunes
他局 3,他局 ,Other stations
report 3,report ,report
准尉 3,准尉 ,Warrant Officer
狱 3,狱 ,scarlet
アーカ 3,アーカ ,Arca
箕輪 3,箕輪 ,Minowa
かなめ 3,かなめ ,Key point
鐘楼 3,鐘楼 ,Bell Tower
スロープ 3,スロープ ,Slope
怀 3,怀 ,　
奶 3,奶 ,奶
復しゅう 3,復しゅう ,Revenge
書留 3,書留 ,Registered mail
バルー 3,バルー ,Baloo
装束 3,装束 ,costume
弥生 3,弥生 ,Yayoi
悪魔女 3,悪魔女 ,Devil Woman
引きた 3,引きた ,Pulled
ani 3,ani ,ani
バスラ 3,バスラ ,Basra
タリフ 3,タリフ ,Tariff
挽肉 3,挽肉 ,Minced meat
lio 3,lio ,lio
両耳 3,両耳 ,Both ears
アヴェニュー 3,アヴェニュー ,Avenue
介意 3,介意 ,Care
計量 3,計量 ,Weighing
ぱちくり 3,ぱちくり ,Blink
引き倒 3,引き倒 ,Pull down
千切 3,千切 ,Cut into strips
垂れ流し 3,垂れ流し ,Draining
泣き喚 3,泣き喚 ,Cry
メデイア 3,メデイア ,Media
カーロ 3,カーロ ,Caro
割り振 3,割り振 ,Allocation
java 3,java ,java
ビショビショ 3,ビショビショ ,Soaked
カリサー 3,カリサー ,Carisar
いつく 3,いつく ,When
隐 3,隐 ,隐
臀 3,臀 ,Buttocks
轮 3,轮 ,wheel
侧 3,侧 ,side
グービン 3,グービン ,Gubin
進水 3,進水 ,launch
暧 3,暧 ,Akira
全会 3,全会 ,plenary session
昧 3,昧 ,vague
モツ 3,モツ ,Motu
manpukuji 3,manpukuji ,Manpukuji
ンン 3,ンン ,Hmm
フォルトゥナード 3,フォルトゥナード ,Fortunado
大真面目 3,大真面目 ,Seriously serious
ユビキロカ 3,ユビキロカ ,Ubikiroka
ビデ 3,ビデ ,Bidets
ヒュンダイ 3,ヒュンダイ ,Hyundai
ドラムス 3,ドラムス ,Drums
アイラモラーダ 3,アイラモラーダ ,Islamorada
慰霊 3,慰霊 ,Memorial
形質 3,形質 ,Traits
コミュニケート 3,コミュニケート ,Communicate
苦心 3,苦心 ,painstaking effort
廓 3,廓 ,廓
满 3,满 ,full
クルース 3,クルース ,Cruise
つもりか 3,つもりか ,Are you planning to
ブルーバード 3,ブルーバード ,Bluebird
上嗾 3,上嗾 ,superiority
沟 3,沟 ,millet
沢武 3,沢武 ,Sawabu
纯 3,纯 ,Pure
血のり 3,血のり ,Paste blood
拔 3,拔 ,moss
ずる休み 3,ずる休み ,Slacking off
tibi 3,tibi ,tibi
得到 3,得到 ,achieved
帰港 3,帰港 ,Return to port
gyobu 3,gyobu ,gyobu
揺らせ 3,揺らせ ,Shake
バビノー 3,バビノー ,Babineaux
シッコ 3,シッコ ,Peeeeeep
ローレンシア 3,ローレンシア ,Laurentia
船底 3,船底 ,Ship bottom
座骨 3,座骨 ,Sciatica
とっとく 3,とっとく ,Save it
抱え込み 3,抱え込み ,Embracing
むせ 3,むせ ,Choking
パオレ 3,パオレ ,Paole
小食 3,小食 ,Small meal
いななき 3,いななき ,Neigh
たわし 3,たわし ,Scrubber
ものごと 3,ものごと ,Things
爆縮 3,爆縮 ,implosion
配分 3,配分 ,Allocation
見過 3,見過 ,oversight
イットリウム 3,イットリウム ,Yttrium
ステアズ 3,ステアズ ,Stairs
ブロンドー 3,ブロンドー ,Blondeau
乳ガン 3,乳ガン ,Breast cancer
提灯 3,提灯 ,Lantern
ストレージ 3,ストレージ ,Storage
グレーテル 3,グレーテル ,Gretel
飲み歩 3,飲み歩 ,Drinking Tour
耳立て 3,耳立て ,Ear pieces
ヤンキーズ 3,ヤンキーズ ,Yankees
tough 3,tough ,tough
曾祖母 3,曾祖母 ,great grandmother
玉電 3,玉電 ,Tamaden
ウィドムスキー 3,ウィドムスキー ,Widomski
whether 3,whether ,whether
フランネル 3,フランネル ,Flannel
ユリョビッチ 3,ユリョビッチ ,Jurjovic
ブランブル 3,ブランブル ,Bramble
鎮ま 3,鎮ま ,Calm down
売名 3,売名 ,Self-promotion
ソルビー 3,ソルビー ,Sorby
前王 3,前王 ,former king
ティギール 3,ティギール ,Tigir
カササギガチョウ 3,カササギガチョウ ,Magpie Geese
詈再 3,詈再 ,Shurai
くそッ 3,くそッ ,Shit
ミルス 3,ミルス ,Mills
栄華 3,栄華 ,Glory
龍太郎 3,龍太郎 ,Ryutaro
ボロフスキー 3,ボロフスキー ,Borovsky
版権 3,版権 ,Copyright
鉄柵 3,鉄柵 ,Iron fence
おおーっ 3,おおーっ ,Wow!
suck 3,suck ,suck
値下げ 3,値下げ ,Price reduction
ふくよか 3,ふくよか ,Plump
じゃんじゃん 3,じゃんじゃん ,Step by step
詰めこ 3,詰めこ ,Stuffing
かんな 3,かんな ,Kanna
カインクロス 3,カインクロス ,Caincross
人恋し 3,人恋し ,Missing someone
根幹 3,根幹 ,Foundation
clattering 3,clattering ,Clattering
取り付き 3,取り付き ,Installation
モリブデン 3,モリブデン ,Molybdenum
启 3,启 ,启
マクタガート 3,マクタガート ,McTaggart
大汗 3,大汗 ,heavy sweat
ヴァルキューレ 3,ヴァルキューレ ,Valkyrie
vi 3,vi ,vi
節税 3,節税 ,Tax Savings
スペクトラム 3,スペクトラム ,Spectrum
構文 3,構文 ,Syntax
そうめん 3,そうめん ,Somen
キチ 3,キチ ,Kichi
公海 3,公海 ,high seas
アルハザジ 3,アルハザジ ,Alhazaji
紙吹雪 3,紙吹雪 ,Confetti
肌寒 3,肌寒 ,Chilly
つつけ 3,つつけ ,Tsuke
プレイング 3,プレイング ,Playing
コーラー 3,コーラー ,Cola
发射 3,发射 ,shot
ゲイタ 3,ゲイタ ,Gaita
外相 3,外相 ,Foreign Minister
グマン 3,グマン ,Guman
三沢 3,三沢 ,Misawa
トレヴァー 3,トレヴァー ,Trevor
東大 3,東大 ,University of Tokyo
仕合せ 3,仕合せ ,Happiness
転記 3,転記 ,Transcription
aaah 3,aaah ,aaah
晩年 3,晩年 ,Later years
bait 2,bait ,bait
義肢 2,義肢 ,prosthetic limb
グスタ 2,グスタ ,Gusta
バラ撒 2,バラ撒 ,Scattering
飛び下り 2,飛び下り ,Jumping down
東軍 2,東軍 ,Eastern Army
クレオパス 2,クレオパス ,Cleopas
震わ 2,震わ ,Trembling
タークス 2,タークス ,Turks
追徴 2,追徴 ,Additional charges
シッカリ 2,シッカリ ,Firmly
金屑 2,金屑 ,scrap metal
髪どめ 2,髪どめ ,Hair clip
望み薄 2,望み薄 ,Lack of hope
ワトキンズ 2,ワトキンズ ,Watkins
早見 2,早見 ,Quick Look
mental 2,mental ,mental
うおぉぉぉ 2,うおぉぉぉ ,Woahhh
ヒッター 2,ヒッター ,Hitter
ひひ 2,ひひ ,Hehehe
べろんべろん 2,べろんべろん ,Licking licking
聞き手 2,聞き手 ,Interviewer
っちゆ 2,っちゆ ,Chiyu
濃い 2,濃い ,dark 
おっしゃぁ 2,おっしゃぁ ,Okay.
褒めちゃ 2,褒めちゃ ,Praise me
ギニー 2,ギニー ,Guinea
着々 2,着々 ,Steadily
ヾぅ 2,ヾぅ ,ヾu
和議 2,和議 ,Peace agreement
ｋｚｈｃ 2,ｋｚｈｃ ,kzhc
スゴク 2,スゴク ,Amazing
エクスポート 2,エクスポート ,Export
アワード 2,アワード ,Awards
俳句 2,俳句 ,Haiku
座右 2,座右 ,sitting right
靄 2,靄 ,Mist
火照 2,火照 ,hot flash
アレクシ 2,アレクシ ,Alexi
方舟 2,方舟 ,ark
ホーー 2,ホーー ,Hooray!
羅爵 2,羅爵 ,Luo Duke
生名簿 2,生名簿 ,Raw list
刻め 2,刻め ,Engrave
ザザザ 2,ザザザ ,Zazaza
rapid 2,rapid ,rapid
面倒見 2,面倒見 ,Caring
アルゴン 2,アルゴン ,Argon
いさぎよ 2,いさぎよ ,Honesty
コイホマ 2,コイホマ ,Koihoma
メガイラ 2,メガイラ ,Megaera
進み 2,進み ,Progress
admit 2,admit ,admit
フロイア 2,フロイア ,Floya
ずぞ 2,ずぞ ,Zuzo
ドリトス 2,ドリトス ,Doritos
オゥー 2,オゥー ,Ooooh
ー離 2,ー離 ,- Away
インタヴュアー 2,インタヴュアー ,Interviewer
長引か 2,長引か ,Prolonged?
ソーレル 2,ソーレル ,Sorel
古墳 2,古墳 ,Ancient tombs
